# diffReps version: 1.55.4
## Parameter Settings ##
# Treatment files: output/filtered/DKO_CTCF_rep1.04_rm.bam.bed	output/filtered/DKO_CTCF_rep2.04_rm.bam.bed
# Control files: output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed
# Treatment background: None Specified
# Control background: None Specified
# Output file: output/diffreps/report_win200_p0.0001.txt
# Statistical Test: Negative Binomial
# Use robust estimation: yes
# Number of deviation cutoff: 2
# Alpha in right-trimmed mean: 0.05
# P-value cutoff: 0.0001
# Window size: 200
# Step size: 20
# Gap size: 0
# Fragment size: 115
# Number of processors used: 20
# Full command used: /cm/shared/apps/perl5/bin/diffReps.pl --control output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed --treatment output/filtered/DKO_CTCF_rep1.04_rm.bam.bed output/filtered/DKO_CTCF_rep2.04_rm.bam.bed --report output/diffreps/report_win200_p0.0001.txt --gname hg19 --meth nb --frag 115 --nproc 20 --window 200 --pval 0.0001 --noanno --nohs
# Split BED files done in 51 seconds.
# Estimate mean and deviation for read counts done in 232 seconds
## Important values estimated from data ##
# Read count statistics based on bin size: 200
# Treatment count mean: 0.43	0.34
# Control count mean: 0.55	0.61	0.39
# Treatment count deviation: 0.64	0.51
# Control count deviation: 0.82	0.90	0.57
# Treatment normalization constant: 0.85	0.73
# Control normalization constant: 1.10	1.70	0.92
## FDR control information ##
# Genome coverage for windows that passed cutoff: 179675820
# N used in BH adjustment: 898379
# Detecting differential sites done in 368 seconds
Chrom	Start	End	Length	Treatment.cnt	Control.cnt	Treatment.avg	Control.avg	Treatment.enr	Control.enr	Event	log2FC	pval	padj	winSta	winEnd	winFC	winP	winQ
chr1	714001	714280	280	27.01;34.41	10.01;7.63;15.26	30.71	10.97	NA	NA	Up	1.49	1.10975528517311e-06	0.000202803263494413	714061	714260	1.73	8.35917859982563e-08	1.82451664512458e-05
chr1	854961	855340	380	35.24;23.40	5.46;7.04;13.08	29.32	8.53	NA	NA	Up	1.78	9.70441413811276e-08	2.68171081789714e-05	855061	855260	2.20	4.8134992269404e-08	1.13262090675733e-05
chr1	934521	934720	200	7.05;5.51	0.91;1.17;0.00	6.28	0.69	NA	NA	Up	3.18	8.44686224478636e-05	0.00660323632746257	934521	934720	3.18	8.44686224478636e-05	0.00617401522221992
chr1	954681	955040	360	57.55;48.18	21.85;18.78;28.34	52.87	22.99	NA	NA	Up	1.20	2.88367877729383e-07	6.40425021380541e-05	954801	955000	1.91	4.55323302806753e-09	2.83803612550697e-06
chr1	967721	968100	380	15.27;13.77	0.91;1.76;4.36	14.52	2.34	NA	NA	Up	2.63	2.5141392072655e-07	5.67785285792853e-05	967801	968000	4.05	2.29248680726706e-08	6.32337121715005e-06
chr1	976501	976780	280	10.57;4.13	0.00;0.00;0.00	7.35	0.00	NA	NA	Up	inf	6.28049713116516e-07	0.000123978614199056	976541	976740	inf	6.28049713116516e-07	0.00010442840518599
chr1	985101	985580	480	19.97;28.91	0.91;0.59;1.09	24.44	0.86	NA	NA	Up	4.82	1.62526104106686e-07	3.98716654509176e-05	985241	985440	6.66	5.77316329283918e-09	2.83847615269238e-06
chr1	986441	986940	500	25.84;24.78	0.91;0.00;8.72	25.31	3.21	NA	NA	Up	2.98	2.35136524201319e-09	5.31346665978693e-06	986641	986840	3.61	9.40123521702622e-09	3.34489991803438e-06
chr1	989941	990260	320	18.79;13.77	4.55;4.69;4.36	16.28	4.54	NA	NA	Up	1.84	1.32691124340071e-05	0.0016117755488576	990061	990260	1.96	1.61721439198804e-05	0.0016398097610156
chr1	1109321	1109720	400	19.97;11.01	1.82;1.17;1.09	15.49	1.36	NA	NA	Up	3.51	3.68063073806779e-08	1.38641566533946e-05	1109421	1109620	4.22	8.5473143046823e-09	3.18751667817608e-06
